Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
100011;Haan, GE Walder Straße;BR Düsseldorf;Kreis Mettmann;Haan;4
100012;Leverkusen, GG Am Friedenspark;BR Köln;Stadt Leverkusen;Leverkusen;9
100014;Herne, GG Kolibri-Schule;BR Arnsberg;Stadt Herne;Herne;5
100015;Düsseldorf, Gym Wim-Wenders;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;4
100016;Stolberg, GE Kupferstädter;BR Köln;Städteregion Aachen;Stolberg (Rhld.);5
100017;Hürth, GG Bonnstraße;BR Köln;Rhein-Erft-Kreis;Hürth;4
100019;Kleve, GE Joseph Beuys;BR Düsseldorf;Kreis Kleve;Kleve;7
100020;Düsseldorf, KG Kartause-Hain-Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;5
100021;Tönisvorst, GE Rupert-Neudeck;BR Düsseldorf;Kreis Viersen;Tönisvorst;4
100022;Medebach, SK Medebach-Winterberg;BR Arnsberg;Hochsauerlandkreis;Medebach;2
100023;Lengerich, GE Lengerich/Tecklenburg;BR Münster;Kreis Steinfurt;Lengerich;3
100024;Gronau, GE Euregioschule;BR Münster;Kreis Borken;Gronau (Westf.);3
100026;Bad Driburg, GG Schule unter der Iburg;BR Detmold;Kreis Höxter;Bad Driburg;2
100028;Essen, RS im Bezirk Zollverein;BR Düsseldorf;Stadt Essen;Essen;8
100029;Oberhausen,GG Schule a. d. Oranienstraße;BR Düsseldorf;Stadt Oberhausen;Oberhausen;3
100032;Brühl, GG (Verb.) Regenbogenschule;BR Köln;Rhein-Erft-Kreis;Brühl;7
100036;Köln, GE Gesamtschule Helios;BR Köln;Stadt Köln;Köln;3
100038;Lüdenscheid, GG Wefelshohl;BR Arnsberg;Märkischen Kreis;Lüdenscheid;6
100040;Köln, Gym Neue Sandkaul;BR Köln;Stadt Köln;Köln;2
100041;Köln, GE Wasseramselweg;BR Köln;Stadt Köln;Köln;4
100042;Geldern, GE Königsberger Straße;BR Düsseldorf;Kreis Kleve;Geldern;4
100044;Gütersloh, GE an der Ahornallee;BR Detmold;Kreis Gütersloh;Gütersloh;3
100045;Bielefeld, RS am Schlehenweg;BR Detmold;Stadt Bielefeld;Bielefeld;6
100046;Bielefeld, SK Königsbrügge;BR Detmold;Stadt Bielefeld;Bielefeld;7
100047;Bielefeld, SK Gellershagen;BR Detmold;Stadt Bielefeld;Bielefeld;5
100048;Bochum, GE Bochum-Mitte;BR Arnsberg;Stadt Bochum;Bochum;8
100051;Hamm, GE Arnold-Freymuth-Gesamtschule;BR Arnsberg;Stadt Hamm;Hamm;6
100052;Neuss, GE Comenius-Gesamtschule;BR Düsseldorf;Rhein-Kreis Neuss;Neuss;6
100053;Dorsten, SK Juliusstraße;BR Münster;Kreis Recklinghausen;Dorsten;4
100054;Wuppertal, GG Matthäusstraße;BR Düsseldorf;Stadt Wuppertal;Wuppertal;9
100061;Düsseldorf, GG Steinkaul;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;1
100063;Wesel, GE Ida Noddack;BR Düsseldorf;Kreis Wesel;Wesel;7
100064;Bonn, GG Am Apfelgarten;BR Köln;Stadt Bonn;Bonn;5
100065;Münster, GG Wolbeck - Nord;BR Münster;Stadt Münster;Münster;3
100066;Essen, GH Glückauf-Schule;BR Düsseldorf;Stadt Essen;Essen;9
100067;Düsseldorf, KG Niederkassel;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100068;Köln, GE Berrenrather Straße;BR Köln;Stadt Köln;Köln;4
100069;Monheim am Rhein, GE Ulla-Hahn;BR Düsseldorf;Kreis Mettmann;Monheim am Rhein;6
100070;Velbert, GE Waldschlösschen;BR Düsseldorf;Kreis Mettmann;Velbert;2
100071;Köln, GE Dellbrücker Mauspfad;BR Köln;Stadt Köln;Köln;4
100077;Dinslaken, GE Hiesfeld;BR Düsseldorf;Kreis Wesel;Dinslaken;3
100079;Düsseldorf, KG Paulus Schule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;3
100085;Duisburg, GE Green-Gesamtschule;BR Düsseldorf;Stadt Duisburg;Duisburg;7
100088;Velbert, GG Kastanienallee;BR Düsseldorf;Kreis Mettmann;Velbert;7
100089;Bornheim, GE Bornheim 2;BR Köln;Rhein-Sieg-Kreis;Bornheim;4
100090;Essen, RS Kettwig;BR Düsseldorf;Stadt Essen;Essen;2
100091;Lüdenscheid, GG Ida Gerhardi;BR Arnsberg;Märkischen Kreis;Lüdenscheid;5
100092;Düsseldorf, KG Rather Kreuzweg;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;9
100093;Beckum, GG an den Kastanien;BR Münster;Kreis Warendorf;Beckum;3
100094;Dorsten, GG Bonifatiusschule;BR Münster;Kreis Recklinghausen;Dorsten;4
100096;Rösrath, GE Rösrath;BR Köln;Rheinisch-Bergischen Kreis;Rösrath;3
100098;Ahlen, GE Therese-Münsterteicher;BR Münster;Kreis Warendorf;Ahlen;6
100103;Rheinberg, GE Europaschule Rheinberg;BR Düsseldorf;Kreis Wesel;Rheinberg;3
100104;Neuenrade, SK Hönnequellschule;BR Arnsberg;Märkischen Kreis;Neuenrade;3
100107;Morsbach SK Leonardo-da-Vinci;BR Köln;Oberbergischen Kreis;Morsbach;2
100108;Kalletal, SK Jacobischule;BR Detmold;Kreis Lippe;Kalletal;2
100109;Düsseldorf, KG Marienschule;BR Düsseldorf;Stadt Düsseldorf;Düsseldorf;2
100111;Langenberg, SK Konrad-Zuse;BR Detmold;Kreis Gütersloh;Langenberg;2
100112;Ascheberg, SK Bahnhofsweg;BR Münster;Kreis Coesfeld;Ascheberg;2
